State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alabama,Baldwin,2015,264,205,58,1,0,0,0,129,57,39,0,0,169,95,0
Alabama,Clay,2015,112,73,39,0,0,0,0,92,56,43,0,0,0,112,0
Alabama,Colbert,2015,280,221,59,0,0,0,0,76,56,39,0,0,179,101,0
Alabama,DeKalb,2015,363,294,68,1,0,0,0,101,55,38,0,0,284,79,0
Alabama,Elmore,2015,233,223,9,1,0,0,0,115,47,35,0,0,233,0,0
Alabama,Etowah,2015,365,132,226,4,3,0,0,176,68,54,0,0,84,281,0
Alabama,Houston,2015,283,241,42,0,0,0,0,74,54,36,0,0,188,95,0
Alabama,Jefferson,2015,365,106,254,5,0,0,0,147,73,55,0,2,44,317,2
Alabama,Lawrence,2015,114,92,22,0,0,0,0,74,55,36,0,0,0,114,0
Alabama,Madison,2015,333,265,68,0,0,0,0,87,58,39,0,0,195,85,53
Alabama,Mobile,2015,363,192,170,1,0,0,0,105,61,48,0,0,64,299,0
Alabama,Montgomery,2015,359,135,223,1,0,0,0,115,65,53,0,0,65,294,0
Alabama,Morgan,2015,365,241,124,0,0,0,0,93,61,44,0,0,101,264,0
Alabama,Russell,2015,337,110,225,2,0,0,0,141,69,54,0,0,41,296,0
Alabama,Shelby,2015,257,207,48,2,0,0,0,115,61,40,0,0,217,40,0
Alabama,Sumter,2015,314,169,144,1,0,0,0,107,62,48,0,0,96,218,0
Alabama,Talladega,2015,107,47,60,0,0,0,0,84,62,52,0,0,0,107,0
Alabama,Tuscaloosa,2015,357,94,263,0,0,0,0,91,67,56,0,0,20,337,0
Alaska,Aleutians East ,2015,117,117,0,0,0,0,0,44,28,13,0,0,0,117,0
Alaska,Anchorage ,2015,361,261,100,0,0,0,0,79,60,34,2,0,0,304,55
Alaska,Denali ,2015,363,355,8,0,0,0,0,90,44,35,0,0,355,8,0
Alaska,Fairbanks North Star ,2015,365,124,178,20,37,6,0,263,154,59,0,0,63,298,4
Alaska,Juneau ,2015,351,262,89,0,0,0,0,92,61,28,0,0,0,349,2
