GeoFips,GeoName,2015,2016,2017,2018,2019,2020
0,United States,18295019.0,18804913.0,19612102.0,20656516.0,21539982.0,21354105.0
1000,Alabama,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3
2000,Alaska,51574.2,51121.8,53550.9,54762.0,54549.6,51283.4
4000,Arizona,298942.2,313787.1,333099.0,353671.0,375376.7,388956.7
5000,Arkansas,118573.6,120987.4,123882.6,129213.8,132625.8,136198.4
6000,California,2487156.4,2586485.2,2740550.3,2899530.9,3068629.7,3076755.1
8000,Colorado,320895.9,330565.9,350209.1,373923.1,397843.6,396741.9
9000,Connecticut,260648.5,264760.4,273875.1,280535.4,286451.9,278029.4
10000,Delaware,72352.5,70021.5,69555.6,73376.0,78710.5,77520.3
11000,District of Columbia,124753.6,129933.5,134298.8,141240.2,145071.4,146660.1
12000,Florida,918464.3,964500.8,1014866.9,1072085.6,1133718.0,1142004.4
13000,Georgia,525516.8,554903.2,583543.3,612803.4,646695.8,640223.6
15000,Hawaii,81410.2,84287.2,87436.4,90933.5,93240.2,84885.8
16000,Idaho,66064.9,69185.2,72935.1,79072.4,84429.4,88099.3
17000,Illinois,802592.0,813561.6,832826.8,871024.2,895601.8,860672.8
18000,Indiana,333163.8,342716.6,357535.8,377376.9,384838.7,378633.6
19000,Iowa,181471.7,183834.8,187125.0,193155.1,196262.5,198609.6
20000,Kansas,155699.0,162144.5,166273.6,173373.0,176068.8,177209.6
21000,Kentucky,194621.2,197944.8,203564.0,210509.1,220678.8,218539.7
22000,Louisiana,234324.2,227440.3,239830.7,256444.4,257499.0,236216.3
23000,Maine,58755.8,61092.2,63000.6,66216.0,69708.7,72077.1
24000,Maryland,367314.1,386496.4,399714.5,410771.8,419391.6,413455.4
25000,Massachusetts,497767.0,514108.0,530129.4,559605.0,588069.5,592653.0
26000,Michigan,479222.7,494752.5,505101.5,525240.8,540237.3,529675.6
27000,Minnesota,336762.0,345248.8,354721.9,372439.2,384850.2,378746.6
28000,Mississippi,106623.9,107795.4,110281.4,113166.4,116135.7,116709.4
29000,Missouri,299597.7,304143.3,311273.8,320451.6,334750.2,335285.1
30000,Montana,46542.4,45859.4,48470.5,51152.1,52715.6,52958.8
31000,Nebraska,117402.3,119389.8,123219.9,127954.4,132848.2,135149.4
32000,Nevada,145786.8,153318.0,163199.1,172547.9,184611.1,176296.3
33000,New Hampshire,77385.8,79759.7,81179.6,83859.4,87868.2,88527.7
34000,New Jersey,565807.7,578651.4,590086.7,619340.2,643317.7,631552.3
35000,New Mexico,90779.4,90476.0,93210.1,98838.2,103821.0,100656.4
36000,New York,1498474.7,1556830.0,1624800.7,1710665.6,1787470.9,1773369.8
37000,North Carolina,508672.4,528284.3,546810.1,568037.3,592449.6,600683.3
38000,North Dakota,56952.2,52666.3,56530.2,60377.1,60892.5,55568.5
39000,Ohio,615275.5,627294.7,652187.5,672540.1,702914.8,692683.7
40000,Oklahoma,187364.7,182238.8,192538.6,204193.9,205992.7,192516.2
41000,Oregon,200592.6,211782.4,225534.5,238466.9,248781.8,251577.7
42000,Pennsylvania,716534.3,733165.9,754318.0,780620.7,802233.1,777000.8
44000,Rhode Island,56604.0,57714.6,58771.6,60064.9,62814.7,62124.9
45000,South Carolina,207510.0,217555.5,224937.6,236561.7,249575.7,249430.2
46000,South Dakota,48678.9,49842.6,51615.1,53349.5,55175.8,56254.4
47000,Tennessee,326382.5,339350.2,355417.5,369713.2,385833.0,391563.2
48000,Texas,1585985.9,1582981.5,1667313.0,1808026.9,1864872.3,1802143.7
49000,Utah,149762.1,159330.6,172075.0,186805.7,201312.2,205647.9
50000,Vermont,31152.4,31840.2,32589.2,33482.6,34760.3,34414.9
51000,Virginia,485540.9,499032.4,515167.2,537158.3,561701.8,565466.8
53000,Washington,467590.6,489790.2,527169.4,570337.8,608643.4,620132.9
54000,West Virginia,71713.4,71248.9,75172.4,79794.3,80242.4,77430.9
55000,Wisconsin,308304.5,315420.0,321886.8,335144.3,346906.6,343272.2
56000,Wyoming,38624.8,36105.9,37620.3,39614.5,40029.5,36709.6
