GeoFips,GeoName,2015,2016,2017,2018,2019,2020
0,United States,190325800,193425900,196394100,200292200,201622200,195262600
1000,Alabama,2587641,2619761,2649222,2692424,2712014,2670753
2000,Alaska,461707,457142,455550,454776,454794,430867
4000,Arizona,3547647,3644791,3740747,3854741,3929587,3919466
5000,Arkansas,1610799,1629734,1639903,1658212,1663305,1638864
6000,California,22687175,23177961,23548874,24077466,24224461,23152576
8000,Colorado,3574253,3666709,3760708,3857981,3894321,3820820
9000,Connecticut,2288144,2301331,2300273,2314465,2297925,2217360
10000,Delaware,568832,578605,584693,597021,602769,592138
11000,District of Columbia,873204,892796,902843,914319,915216,866067
12000,Florida,11367164,11682273,12098388,12556216,12760885,12718985
13000,Georgia,5832928,5973764,6128089,6287460,6398769,6326141
15000,Hawaii,901126,914921,921135,924352,913949,817434
16000,Idaho,949392,976719,1007831,1041387,1063420,1077509
17000,Illinois,7748859,7804672,7823072,7880803,7859167,7519081
18000,Indiana,3796439,3847508,3903424,3963724,3969443,3842872
19000,Iowa,2059821,2066676,2061826,2076505,2071286,2010886
20000,Kansas,1910992,1916188,1913433,1925926,1923958,1878516
21000,Kentucky,2473925,2498703,2520120,2546178,2549331,2470655
22000,Louisiana,2696540,2691337,2692542,2725271,2717240,2592329
23000,Maine,816586,826729,834280,843918,842370,812930
24000,Maryland,3602930,3659063,3696841,3752933,3744561,3621684
25000,Massachusetts,4631415,4709800,4778364,4855037,4872942,4600324
26000,Michigan,5501527,5575793,5631139,5715122,5713441,5388050
27000,Minnesota,3662633,3697854,3735638,3776940,3782570,3607176
28000,Mississippi,1568216,1581199,1592198,1602929,1606893,1572607
29000,Missouri,3655817,3700543,3735873,3777370,3778389,3690891
30000,Montana,660573,667793,674409,684043,685589,683384
31000,Nebraska,1302877,1310927,1317730,1330415,1328396,1305658
32000,Nevada,1664654,1724751,1780614,1848890,1884199,1770765
33000,New Hampshire,860652,873123,882481,892584,890078,858485
34000,New Jersey,5303132,5391258,5448785,5550061,5571281,5319518
35000,New Mexico,1092272,1092375,1095489,1110587,1116429,1068784
36000,New York,12099197,12259166,12391361,12655123,12745397,11871078
37000,North Carolina,5694917,5825267,5919022,6055657,6148775,6054094
38000,North Dakota,597638,576701,573077,578397,581324,560280
39000,Ohio,6862150,6931328,6987847,7067380,7071408,6852799
40000,Oklahoma,2287838,2287131,2291944,2312261,2309379,2265288
41000,Oregon,2391179,2450390,2515986,2570069,2579015,2492991
42000,Pennsylvania,7510339,7593722,7662469,7763488,7772024,7412005
44000,Rhode Island,626983,633419,638851,648727,650999,615667
45000,South Carolina,2636275,2700187,2759183,2843694,2882128,2824762
46000,South Dakota,592644,597263,601254,610179,610159,605992
47000,Tennessee,3859498,3951859,4033011,4120203,4168023,4119507
48000,Texas,16414554,16683280,17104407,17608884,17899918,17697051
49000,Utah,1865934,1933131,1995267,2069738,2102960,2135682
50000,Vermont,432560,433791,435861,437661,433446,409231
51000,Virginia,5060270,5156659,5229126,5299069,5329257,5224635
53000,Washington,4199164,4313722,4432271,4537842,4591912,4434976
54000,West Virginia,904270,890209,888822,898085,881641,840976
55000,Wisconsin,3624473,3657732,3678859,3721096,3717587,3580658
56000,Wyoming,406045,398144,398968,404591,407870,401353
